title,url,type
为阅读网页内容时在行内撰写间隔重复卡片而设计界面,https://zhuanlan.zhihu.com/p/719498421,post
程序教学,https://zhuanlan.zhihu.com/p/719498216,post
对比数学与电子游戏,https://zhuanlan.zhihu.com/p/716414197,post
使用机器学习从解释性文本中生成优质的间隔重复卡片,https://zhuanlan.zhihu.com/p/716570823,post
我的美国总统竞选纲领,https://zhuanlan.zhihu.com/p/716424929,post
与作者一起工作：文本写作和卡片写作相互依赖,https://zhuanlan.zhihu.com/p/716414281,post
间隔重复与记忆无关,https://zhuanlan.zhihu.com/p/716147393,post
序列 vs 常青笔记,https://zhuanlan.zhihu.com/p/715949688,post
面向数学的《时空幻境》,https://zhuanlan.zhihu.com/p/715765481,post
把任意网页转化成助记媒介,https://zhuanlan.zhihu.com/p/715577675,post
时空幻境（Braid）,https://zhuanlan.zhihu.com/p/715147276,post
Orbit 的一个新兴审美取向,https://zhuanlan.zhihu.com/p/714693356,post
围绕言论自由规范，能否形成不自相矛盾的原则？,https://zhuanlan.zhihu.com/p/713900588,post
全面详尽的测验可以让急于求成的学习者跳过文本阅读,https://zhuanlan.zhihu.com/p/714466433,post
比较教学场景,https://zhuanlan.zhihu.com/p/714263767,post
降低生育率的信号军备竞赛,https://zhuanlan.zhihu.com/p/713903603,post
数学探索需要将问题情境加载到工作记忆,https://zhuanlan.zhihu.com/p/713659217,post
电子游戏允许即时的探索,https://zhuanlan.zhihu.com/p/710894633,post
政治光谱理论的又一次不成熟尝试,https://zhuanlan.zhihu.com/p/709741403,post
亚文化与地位分配：从零和游戏到多元身份的效用提升,https://zhuanlan.zhihu.com/p/709433800,post
我们可以通过撰写只需要中等领域专业知识的主题来发展助记媒介,https://zhuanlan.zhihu.com/p/708500804,post
在解释学中你并不需要践行自己提倡的原则,https://zhuanlan.zhihu.com/p/707701579,post
《青春珊瑚岛》中描述的学习不尽如人意,https://zhuanlan.zhihu.com/p/707519807,post
针对学习数学证明的刻意练习,https://zhuanlan.zhihu.com/p/707318570,post
如何为间隔复习选择合适的数学证明题,https://zhuanlan.zhihu.com/p/706810758,post
非非自由意志主义者的 FAQ,https://zhuanlan.zhihu.com/p/705593522,post
呼吁友善、社群与文明,https://zhuanlan.zhihu.com/p/705177557,post
政治光谱的繁荣/生存理论,https://zhuanlan.zhihu.com/p/705043219,post
我为何厌恶你的自由——非自由意志主义者的 FAQ,https://zhuanlan.zhihu.com/p/704924636,post
群岛与原子化社群主义,https://zhuanlan.zhihu.com/p/704544059,post
一份有点像左翼自由意志主义宣言的东西,https://zhuanlan.zhihu.com/p/704449251,post
驱除《少龄淑女绘本启蒙琼林》的幽灵,https://zhuanlan.zhihu.com/p/702645839,post
如果我们有了人工通用智能（AGI），还有什么东西值得学？,https://zhuanlan.zhihu.com/p/701724468,post
本科学习环境很少为发展助记媒介提供良好的情境,https://zhuanlan.zhihu.com/p/701411352,post
我们如何学习？,https://zhuanlan.zhihu.com/p/700878710,post
我的平凡生活：1990 年代至今的改善,https://zhuanlan.zhihu.com/p/700282239,post
工具制造者和工具使用者之间的合作取决于建立有效的工具创意「军火库」,https://zhuanlan.zhihu.com/p/699817980,post
曝瑕媒介,https://zhuanlan.zhihu.com/p/699675813,post
普及助记媒介似乎需要网页出版的普及,https://zhuanlan.zhihu.com/p/699342664,post
亚文化社会的忧郁,https://zhuanlan.zhihu.com/p/699093323,post
数学教育的杂烩假说,https://zhuanlan.zhihu.com/p/698931449,post
一天中很难进行超过几小时的高强度创造性工作,https://zhuanlan.zhihu.com/p/698714697,post
知识估值中的频率编码,https://zhuanlan.zhihu.com/p/698598052,post
§赋能环境、游戏和《启蒙琼林》,https://zhuanlan.zhihu.com/p/698476935,post
大多数为交流设计的动态表示形式并不具备很强的赋能作用,https://zhuanlan.zhihu.com/p/698373839,post
「启蒙书」是一个脱离情境的视角,https://zhuanlan.zhihu.com/p/698045304,post
